Country or Area,Value,Year,Item
Pakistan,67.060382,2017,Central Government Debt (Percent of GDP)
Papua New Guinea,32.48437,2017,Central Government Debt (Percent of GDP)
Paraguay,15.893833,2017,Central Government Debt (Percent of GDP)
Peru,21.376865,2017,Central Government Debt (Percent of GDP)
Poland,46.672148,2017,Central Government Debt (Percent of GDP)
Portugal,128.76064,2017,Central Government Debt (Percent of GDP)
Qatar,51.551771,2017,Central Government Debt (Percent of GDP)
Romania,35.770875,2017,Central Government Debt (Percent of GDP)
Russian Federation,13.494538,2017,Central Government Debt (Percent of GDP)
Rwanda,41.316543,2017,Central Government Debt (Percent of GDP)
Saint Kitts and Nevis,33.85909,2017,Central Government Debt (Percent of GDP)
Saint Lucia,60.369492,2017,Central Government Debt (Percent of GDP)
Saint Vincent and the Grenadines,61.819076,2017,Central Government Debt (Percent of GDP)
Samoa,49.654511,2017,Central Government Debt (Percent of GDP)
San Marino,76.641183,2017,Central Government Debt (Percent of GDP)
Saudi Arabia,17.159603,2017,Central Government Debt (Percent of GDP)
Senegal,61.139422,2017,Central Government Debt (Percent of GDP)
Serbia,57.906131,2017,Central Government Debt (Percent of GDP)
Seychelles,62.274826,2017,Central Government Debt (Percent of GDP)
Sierra Leone,69.154614,2017,Central Government Debt (Percent of GDP)
Singapore,109.53497,2017,Central Government Debt (Percent of GDP)
Slovak Republic,55.831258,2017,Central Government Debt (Percent of GDP)
Slovenia,66.856624,2017,Central Government Debt (Percent of GDP)
Solomon Islands,8.3864967,2017,Central Government Debt (Percent of GDP)
South Africa,53.02161,2017,Central Government Debt (Percent of GDP)
"South Sudan, Republic of",65.209006,2017,Central Government Debt (Percent of GDP)
Spain,87.053545,2017,Central Government Debt (Percent of GDP)
Sri Lanka,77.901799,2017,Central Government Debt (Percent of GDP)
Sudan,159.63678,2017,Central Government Debt (Percent of GDP)
Suriname,77.985721,2017,Central Government Debt (Percent of GDP)
Sweden,41.156915,2017,Central Government Debt (Percent of GDP)
Switzerland,14.505576,2017,Central Government Debt (Percent of GDP)
Syria,no data,2017,Central Government Debt (Percent of GDP)
São Tomé and Príncipe,85.83887,2017,Central Government Debt (Percent of GDP)
Taiwan Province of China,29.766589,2017,Central Government Debt (Percent of GDP)
Thailand,32.463254,2017,Central Government Debt (Percent of GDP)
Timor-Leste,6.6021383,2017,Central Government Debt (Percent of GDP)
Togo,75.951799,2017,Central Government Debt (Percent of GDP)
Tonga,45.583086,2017,Central Government Debt (Percent of GDP)
Trinidad and Tobago,42.24002,2017,Central Government Debt (Percent of GDP)
Tunisia,70.595472,2017,Central Government Debt (Percent of GDP)
Turkey,27.969912,2017,Central Government Debt (Percent of GDP)
Turkmenistan,30.591717,2017,Central Government Debt (Percent of GDP)
Tuvalu,34.564262,2017,Central Government Debt (Percent of GDP)
Uganda,33.799595,2017,Central Government Debt (Percent of GDP)
Ukraine,71.79915,2017,Central Government Debt (Percent of GDP)
United Kingdom,85.18285,2017,Central Government Debt (Percent of GDP)
United States,88.706136,2017,Central Government Debt (Percent of GDP)
Uruguay,47.466821,2017,Central Government Debt (Percent of GDP)
Vanuatu,46.360483,2017,Central Government Debt (Percent of GDP)
Venezuela,no data,2017,Central Government Debt (Percent of GDP)
Vietnam,48.835646,2017,Central Government Debt (Percent of GDP)
West Bank and Gaza,31.805884,2017,Central Government Debt (Percent of GDP)
Yemen,77.426337,2017,Central Government Debt (Percent of GDP)
Zambia,65.523023,2017,Central Government Debt (Percent of GDP)
Zimbabwe,54.4,2017,Central Government Debt (Percent of GDP)
"©IMF, 2021",,2017,Central Government Debt (Percent of GDP)
Afghanistan,7.3844129,2018,Central Government Debt (Percent of GDP)
Albania,67.650496,2018,Central Government Debt (Percent of GDP)
Algeria,38.173881,2018,Central Government Debt (Percent of GDP)
Angola,89.000287,2018,Central Government Debt (Percent of GDP)
Antigua and Barbuda,90.718471,2018,Central Government Debt (Percent of GDP)
Argentina,86.43091,2018,Central Government Debt (Percent of GDP)
Armenia,51.23256,2018,Central Government Debt (Percent of GDP)
Australia,32.821986,2018,Central Government Debt (Percent of GDP)
Austria,54.873858,2018,Central Government Debt (Percent of GDP)
Azerbaijan,18.685387,2018,Central Government Debt (Percent of GDP)
"Bahamas, The",59.761444,2018,Central Government Debt (Percent of GDP)
Bahrain,95.017738,2018,Central Government Debt (Percent of GDP)
Bangladesh,34.56138,2018,Central Government Debt (Percent of GDP)
Barbados,126.34109,2018,Central Government Debt (Percent of GDP)
Belarus,42.513821,2018,Central Government Debt (Percent of GDP)
Belgium,85.052804,2018,Central Government Debt (Percent of GDP)
Belize,101.45781,2018,Central Government Debt (Percent of GDP)
Benin,41.080351,2018,Central Government Debt (Percent of GDP)
Bhutan,110.46927,2018,Central Government Debt (Percent of GDP)
Bolivia,37.866565,2018,Central Government Debt (Percent of GDP)
Bosnia and Herzegovina,34.271075,2018,Central Government Debt (Percent of GDP)
Botswana,14.32606,2018,Central Government Debt (Percent of GDP)
Brazil,81.70039,2018,Central Government Debt (Percent of GDP)
Brunei Darussalam,2.585699,2018,Central Government Debt (Percent of GDP)
Bulgaria,27.478932,2018,Central Government Debt (Percent of GDP)
Burkina Faso,37.654056,2018,Central Government Debt (Percent of GDP)
Burundi,50.505904,2018,Central Government Debt (Percent of GDP)
Cabo Verde,125.59204,2018,Central Government Debt (Percent of GDP)
Cameroon,34.164189,2018,Central Government Debt (Percent of GDP)
Canada,36.843348,2018,Central Government Debt (Percent of GDP)
Central African Republic,50.031232,2018,Central Government Debt (Percent of GDP)
Chad,49.055141,2018,Central Government Debt (Percent of GDP)
Chile,25.557946,2018,Central Government Debt (Percent of GDP)
Colombia,43.346839,2018,Central Government Debt (Percent of GDP)
Comoros,21.052626,2018,Central Government Debt (Percent of GDP)
"Congo, Republic of ",78.556615,2018,Central Government Debt (Percent of GDP)
Costa Rica,53.174123,2018,Central Government Debt (Percent of GDP)
Croatia,73.184738,2018,Central Government Debt (Percent of GDP)
Cyprus,140.08175,2018,Central Government Debt (Percent of GDP)
Czech Republic,29.980154,2018,Central Government Debt (Percent of GDP)
Côte d'Ivoire,39.66238,2018,Central Government Debt (Percent of GDP)
Denmark,27.536227,2018,Central Government Debt (Percent of GDP)
Djibouti,46.508287,2018,Central Government Debt (Percent of GDP)
Dominica,82.813009,2018,Central Government Debt (Percent of GDP)
Dominican Republic,36.823514,2018,Central Government Debt (Percent of GDP)
Ecuador,42.957732,2018,Central Government Debt (Percent of GDP)
Egypt,no data,2018,Central Government Debt (Percent of GDP)
El Salvador,48.048236,2018,Central Government Debt (Percent of GDP)
Equatorial Guinea,39.150641,2018,Central Government Debt (Percent of GDP)
Eritrea,185.60683,2018,Central Government Debt (Percent of GDP)
Estonia,9.5008754,2018,Central Government Debt (Percent of GDP)
Eswatini,34.366696,2018,Central Government Debt (Percent of GDP)
Fiji,46.154716,2018,Central Government Debt (Percent of GDP)
Finland,49.337077,2018,Central Government Debt (Percent of GDP)
France,80.701084,2018,Central Government Debt (Percent of GDP)
Gabon,60.914071,2018,Central Government Debt (Percent of GDP)
"Gambia, The",84.610975,2018,Central Government Debt (Percent of GDP)
Germany,39.432102,2018,Central Government Debt (Percent of GDP)
Ghana,59.128593,2018,Central Government Debt (Percent of GDP)
Greece,194.32672,2018,Central Government Debt (Percent of GDP)
Grenada,64.35815,2018,Central Government Debt (Percent of GDP)
Guatemala,26.559342,2018,Central Government Debt (Percent of GDP)
Guinea,37.955552,2018,Central Government Debt (Percent of GDP)
Guinea-Bissau,60.183514,2018,Central Government Debt (Percent of GDP)
Guyana,43.113669,2018,Central Government Debt (Percent of GDP)
Haiti,39.659315,2018,Central Government Debt (Percent of GDP)
Honduras,48.744638,2018,Central Government Debt (Percent of GDP)
Hong Kong SAR,6.59657,2018,Central Government Debt (Percent of GDP)
Hungary,70.362993,2018,Central Government Debt (Percent of GDP)
Iceland,37.554949,2018,Central Government Debt (Percent of GDP)
India,43.96142,2018,Central Government Debt (Percent of GDP)
Indonesia,29.776298,2018,Central Government Debt (Percent of GDP)
Iran,40.326512,2018,Central Government Debt (Percent of GDP)
Iraq,48.884809,2018,Central Government Debt (Percent of GDP)
Ireland,70.270052,2018,Central Government Debt (Percent of GDP)
Israel,59.277085,2018,Central Government Debt (Percent of GDP)
Italy,130.4329,2018,Central Government Debt (Percent of GDP)
Jamaica,95.700637,2018,Central Government Debt (Percent of GDP)
Japan,199.23709,2018,Central Government Debt (Percent of GDP)
Jordan,75.061017,2018,Central Government Debt (Percent of GDP)
Kazakhstan,18.884262,2018,Central Government Debt (Percent of GDP)
Kenya,60.234508,2018,Central Government Debt (Percent of GDP)
Kiribati,19.708471,2018,Central Government Debt (Percent of GDP)
"Korea, Republic of",34.337928,2018,Central Government Debt (Percent of GDP)
Kosovo,16.952645,2018,Central Government Debt (Percent of GDP)
Kuwait,14.838245,2018,Central Government Debt (Percent of GDP)
Kyrgyz Republic,54.817991,2018,Central Government Debt (Percent of GDP)
Lao P.D.R.,59.650477,2018,Central Government Debt (Percent of GDP)
Latvia,35.093254,2018,Central Government Debt (Percent of GDP)
Lebanon,154.9072,2018,Central Government Debt (Percent of GDP)
Lesotho,46.521118,2018,Central Government Debt (Percent of GDP)
Liberia,39.41918,2018,Central Government Debt (Percent of GDP)
Libya,no data,2018,Central Government Debt (Percent of GDP)
Lithuania,32.803042,2018,Central Government Debt (Percent of GDP)
Luxembourg,15.795687,2018,Central Government Debt (Percent of GDP)
Madagascar,39.894391,2018,Central Government Debt (Percent of GDP)
Malawi,59.68913,2018,Central Government Debt (Percent of GDP)
Malaysia,51.196773,2018,Central Government Debt (Percent of GDP)
Maldives,71.254295,2018,Central Government Debt (Percent of GDP)
Mali,37.717524,2018,Central Government Debt (Percent of GDP)
Malta,42.582644,2018,Central Government Debt (Percent of GDP)
Mauritania,61.38877,2018,Central Government Debt (Percent of GDP)
Mexico,35.349785,2018,Central Government Debt (Percent of GDP)
Moldova,27.372662,2018,Central Government Debt (Percent of GDP)
Mongolia,63.51525,2018,Central Government Debt (Percent of GDP)
Montenegro,67.6151,2018,Central Government Debt (Percent of GDP)
Morocco,65.294423,2018,Central Government Debt (Percent of GDP)
Mozambique,106.24576,2018,Central Government Debt (Percent of GDP)
Myanmar,40.415435,2018,Central Government Debt (Percent of GDP)
Namibia,49.879482,2018,Central Government Debt (Percent of GDP)
Nepal,30.237634,2018,Central Government Debt (Percent of GDP)
New Zealand,28.518251,2018,Central Government Debt (Percent of GDP)
Nicaragua,37.549953,2018,Central Government Debt (Percent of GDP)
Niger,38.939259,2018,Central Government Debt (Percent of GDP)
Nigeria,24.969587,2018,Central Government Debt (Percent of GDP)
North Macedonia ,40.480309,2018,Central Government Debt (Percent of GDP)
Norway,14.836867,2018,Central Government Debt (Percent of GDP)
Oman,53.16755,2018,Central Government Debt (Percent of GDP)
Pakistan,72.0772,2018,Central Government Debt (Percent of GDP)
Papua New Guinea,36.781734,2018,Central Government Debt (Percent of GDP)
Paraguay,17.787462,2018,Central Government Debt (Percent of GDP)
Peru,22.050579,2018,Central Government Debt (Percent of GDP)
Poland,45.002522,2018,Central Government Debt (Percent of GDP)
Portugal,125.18061,2018,Central Government Debt (Percent of GDP)
Qatar,46.543045,2018,Central Government Debt (Percent of GDP)
Romania,35.605422,2018,Central Government Debt (Percent of GDP)
Russian Federation,12.822912,2018,Central Government Debt (Percent of GDP)
Rwanda,44.990818,2018,Central Government Debt (Percent of GDP)
Saint Kitts and Nevis,27.104231,2018,Central Government Debt (Percent of GDP)
Saint Lucia,60.389656,2018,Central Government Debt (Percent of GDP)
Saint Vincent and the Grenadines,64.128943,2018,Central Government Debt (Percent of GDP)
Samoa,52.893936,2018,Central Government Debt (Percent of GDP)
San Marino,78.769436,2018,Central Government Debt (Percent of GDP)
Saudi Arabia,18.979596,2018,Central Government Debt (Percent of GDP)
Senegal,63.198339,2018,Central Government Debt (Percent of GDP)
Serbia,53.726516,2018,Central Government Debt (Percent of GDP)
Seychelles,57.681935,2018,Central Government Debt (Percent of GDP)
Sierra Leone,69.089294,2018,Central Government Debt (Percent of GDP)
Singapore,111.56821,2018,Central Government Debt (Percent of GDP)
Slovak Republic,54.132724,2018,Central Government Debt (Percent of GDP)
Slovenia,63.776767,2018,Central Government Debt (Percent of GDP)
Solomon Islands,8.1986285,2018,Central Government Debt (Percent of GDP)
South Africa,56.709997,2018,Central Government Debt (Percent of GDP)
"South Sudan, Republic of",48.188512,2018,Central Government Debt (Percent of GDP)
Spain,87.111678,2018,Central Government Debt (Percent of GDP)
Sri Lanka,83.768656,2018,Central Government Debt (Percent of GDP)
Sudan,185.60805,2018,Central Government Debt (Percent of GDP)
Suriname,75.563381,2018,Central Government Debt (Percent of GDP)
Sweden,39.837761,2018,Central Government Debt (Percent of GDP)
Switzerland,13.197086,2018,Central Government Debt (Percent of GDP)
Syria,no data,2018,Central Government Debt (Percent of GDP)
São Tomé and Príncipe,83.078632,2018,Central Government Debt (Percent of GDP)
Taiwan Province of China,29.299896,2018,Central Government Debt (Percent of GDP)
Thailand,33.920944,2018,Central Government Debt (Percent of GDP)
Timor-Leste,9.2366731,2018,Central Government Debt (Percent of GDP)
Togo,76.151906,2018,Central Government Debt (Percent of GDP)
Tonga,45.87147,2018,Central Government Debt (Percent of GDP)
Trinidad and Tobago,41.586673,2018,Central Government Debt (Percent of GDP)
Tunisia,78.176036,2018,Central Government Debt (Percent of GDP)
Turkey,28.393432,2018,Central Government Debt (Percent of GDP)
Turkmenistan,31.366281,2018,Central Government Debt (Percent of GDP)
Tuvalu,25.258466,2018,Central Government Debt (Percent of GDP)
Uganda,35.121827,2018,Central Government Debt (Percent of GDP)
Ukraine,60.898297,2018,Central Government Debt (Percent of GDP)
United Kingdom,84.67111,2018,Central Government Debt (Percent of GDP)
United States,90.36847,2018,Central Government Debt (Percent of GDP)
Uruguay,50.539225,2018,Central Government Debt (Percent of GDP)
Vanuatu,48.083227,2018,Central Government Debt (Percent of GDP)
Venezuela,no data,2018,Central Government Debt (Percent of GDP)
Vietnam,46.170717,2018,Central Government Debt (Percent of GDP)
West Bank and Gaza,33.097253,2018,Central Government Debt (Percent of GDP)
Yemen,74.543975,2018,Central Government Debt (Percent of GDP)
Zambia,77.243154,2018,Central Government Debt (Percent of GDP)
Zimbabwe,63,2018,Central Government Debt (Percent of GDP)
"©IMF, 2021",,2018,Central Government Debt (Percent of GDP)
Afghanistan,6.1304099,2019,Central Government Debt (Percent of GDP)
Albania,66.250453,2019,Central Government Debt (Percent of GDP)
Algeria,46.278144,2019,Central Government Debt (Percent of GDP)
Angola,109.21041,2019,Central Government Debt (Percent of GDP)
Antigua and Barbuda,84.468446,2019,Central Government Debt (Percent of GDP)
Argentina,90.382265,2019,Central Government Debt (Percent of GDP)
Armenia,49.945358,2019,Central Government Debt (Percent of GDP)
Australia,34.818636,2019,Central Government Debt (Percent of GDP)
Austria,52.370965,2019,Central Government Debt (Percent of GDP)
Azerbaijan,17.702701,2019,Central Government Debt (Percent of GDP)
"Bahamas, The",58.042287,2019,Central Government Debt (Percent of GDP)
Bahrain,103.36296,2019,Central Government Debt (Percent of GDP)
Bangladesh,35.818855,2019,Central Government Debt (Percent of GDP)
Barbados,118.82558,2019,Central Government Debt (Percent of GDP)
Belarus,38.397212,2019,Central Government Debt (Percent of GDP)
Belgium,83.819187,2019,Central Government Debt (Percent of GDP)
Belize,105.08065,2019,Central Government Debt (Percent of GDP)
Benin,41.229642,2019,Central Government Debt (Percent of GDP)
Bhutan,104.40478,2019,Central Government Debt (Percent of GDP)
Bolivia,42.389883,2019,Central Government Debt (Percent of GDP)
Bosnia and Herzegovina,32.803776,2019,Central Government Debt (Percent of GDP)
Botswana,14.743316,2019,Central Government Debt (Percent of GDP)
Brazil,84.189371,2019,Central Government Debt (Percent of GDP)
Brunei Darussalam,2.5752399,2019,Central Government Debt (Percent of GDP)
Bulgaria,25.552215,2019,Central Government Debt (Percent of GDP)
Burkina Faso,42.672143,2019,Central Government Debt (Percent of GDP)
Burundi,57.370518,2019,Central Government Debt (Percent of GDP)
Cabo Verde,124.98145,2019,Central Government Debt (Percent of GDP)
Cameroon,36.833436,2019,Central Government Debt (Percent of GDP)
Canada,36.824085,2019,Central Government Debt (Percent of GDP)
Central African Republic,47.177255,2019,Central Government Debt (Percent of GDP)
Chad,44.28613,2019,Central Government Debt (Percent of GDP)
Chile,27.906576,2019,Central Government Debt (Percent of GDP)
Colombia,42.042164,2019,Central Government Debt (Percent of GDP)
Comoros,25.23714,2019,Central Government Debt (Percent of GDP)
"Congo, Republic of ",83.67237,2019,Central Government Debt (Percent of GDP)
Costa Rica,58.456246,2019,Central Government Debt (Percent of GDP)
Croatia,71.636308,2019,Central Government Debt (Percent of GDP)
Cyprus,135.33907,2019,Central Government Debt (Percent of GDP)
Czech Republic,28.524951,2019,Central Government Debt (Percent of GDP)
Côte d'Ivoire,37.887592,2019,Central Government Debt (Percent of GDP)
Denmark,26.452199,2019,Central Government Debt (Percent of GDP)
Djibouti,38.474482,2019,Central Government Debt (Percent of GDP)
Dominica,82.639268,2019,Central Government Debt (Percent of GDP)
Dominican Republic,39.582428,2019,Central Government Debt (Percent of GDP)
Ecuador,50.151956,2019,Central Government Debt (Percent of GDP)
Egypt,no data,2019,Central Government Debt (Percent of GDP)
El Salvador,48.235254,2019,Central Government Debt (Percent of GDP)
Equatorial Guinea,41.06267,2019,Central Government Debt (Percent of GDP)
Eritrea,189.35094,2019,Central Government Debt (Percent of GDP)
Estonia,9.6196053,2019,Central Government Debt (Percent of GDP)
Eswatini,38.200274,2019,Central Government Debt (Percent of GDP)
Fiji,48.995589,2019,Central Government Debt (Percent of GDP)
Finland,49.128897,2019,Central Government Debt (Percent of GDP)
France,81.48961,2019,Central Government Debt (Percent of GDP)
Gabon,62.401249,2019,Central Government Debt (Percent of GDP)
"Gambia, The",80.010234,2019,Central Government Debt (Percent of GDP)
Germany,37.688436,2019,Central Government Debt (Percent of GDP)
Ghana,62.762864,2019,Central Government Debt (Percent of GDP)
Greece,189.91919,2019,Central Government Debt (Percent of GDP)
Grenada,59.079494,2019,Central Government Debt (Percent of GDP)
Guatemala,26.646572,2019,Central Government Debt (Percent of GDP)
Guinea,34.497999,2019,Central Government Debt (Percent of GDP)
Guinea-Bissau,67.616181,2019,Central Government Debt (Percent of GDP)
Guyana,39.791601,2019,Central Government Debt (Percent of GDP)
Haiti,47.686103,2019,Central Government Debt (Percent of GDP)
Honduras,48.660907,2019,Central Government Debt (Percent of GDP)
Hong Kong SAR,no data,2019,Central Government Debt (Percent of GDP)
Hungary,66.214689,2019,Central Government Debt (Percent of GDP)
Iceland,42.565813,2019,Central Government Debt (Percent of GDP)
India,46.161932,2019,Central Government Debt (Percent of GDP)
Indonesia,30.17947,2019,Central Government Debt (Percent of GDP)
Iran,44.743011,2019,Central Government Debt (Percent of GDP)
Iraq,46.904488,2019,Central Government Debt (Percent of GDP)
Ireland,64.044849,2019,Central Government Debt (Percent of GDP)
Israel,58.490889,2019,Central Government Debt (Percent of GDP)
Italy,130.59042,2019,Central Government Debt (Percent of GDP)
Jamaica,94.281965,2019,Central Government Debt (Percent of GDP)
Japan,201.39098,2019,Central Government Debt (Percent of GDP)
Jordan,78.015211,2019,Central Government Debt (Percent of GDP)
Kazakhstan,18.483054,2019,Central Government Debt (Percent of GDP)
Kenya,62.098717,2019,Central Government Debt (Percent of GDP)
Kiribati,18.344443,2019,Central Government Debt (Percent of GDP)
"Korea, Republic of",36.424466,2019,Central Government Debt (Percent of GDP)
Kosovo,17.529258,2019,Central Government Debt (Percent of GDP)
Kuwait,11.771276,2019,Central Government Debt (Percent of GDP)
Kyrgyz Republic,54.144411,2019,Central Government Debt (Percent of GDP)
Lao P.D.R.,62.642754,2019,Central Government Debt (Percent of GDP)
Latvia,35.470744,2019,Central Government Debt (Percent of GDP)
Lebanon,174.48238,2019,Central Government Debt (Percent of GDP)
Lesotho,46.460246,2019,Central Government Debt (Percent of GDP)
Liberia,53.273657,2019,Central Government Debt (Percent of GDP)
Libya,no data,2019,Central Government Debt (Percent of GDP)
Lithuania,35.263293,2019,Central Government Debt (Percent of GDP)
Luxembourg,16.717756,2019,Central Government Debt (Percent of GDP)
Madagascar,38.421687,2019,Central Government Debt (Percent of GDP)
Malawi,59.541537,2019,Central Government Debt (Percent of GDP)
Malaysia,52.492333,2019,Central Government Debt (Percent of GDP)
Maldives,77.986814,2019,Central Government Debt (Percent of GDP)
